Date,Week,Website GMV,Meta Ads Spends,Google Ads Spends,Website Ads Spends,Meta ROAS,Google Ads ROAS,Avg ROAS,Amazon GMV,Amazon Ads Spends,Amazon ads ROAS,BlinkIT GMV,BlinkIT Ads Spend,BlinkIT ROAS,FirstCry GMV,The Moms Store GMV,Total GMV,Growth-Degrowth,Dabble GMV Plan,Dabble GMV Act,Dabble GMV Ach,Dabble+3P GMV Plan,Dabble+3P GMV Act,Dabble+3P GMV Ach
01-May,Week 1,"26,247.72","₹12,199","₹1,252","₹13,451",1.5,4,3,72955,"15,062",4.6,"10,581",3028,2.12,"9,587.00",0,"119,370.67",,"1,027,260.00","910,995.09",88.68%,"4,140,976.00","3,945,016.51",95.27%
02-May,Week 1,"19,137.91","₹10,851",₹672,"₹11,523",1.9,6.72,4,70981.84,"14,732",4.4,"16,267",3015,2.69,"12,232.00",0,"118,618.75",-0.63%,,,,,,
03-May,Week 1,"34,079.44","₹12,605","₹1,123","₹13,728",2.8,1.98,2,58766.46,"14,472",3.6,"10,480",3377,1.55,"10,635.00",0,"113,960.90",-3.93%,,,,,,
04-May,Week 1,"28,834.21","₹11,702","₹3,072","₹14,774",2.0,1,2,84606,"13,415",5.2,"6,988",3027,1.87,"16,126.00",0,"136,553.77",19.83%,,,,,,
05-May,Week 1,"16,188.85","₹10,319","₹3,151","₹13,470",1.5,0.19,1,71423.57,"14,233",4.4,"9,333",2895,1.42,"13,955.00",0,"110,900.42",-18.79%,,,,,,
06-May,Week 1,"23,170.30","₹13,931","₹2,873","₹16,804",1.3,1.71,2,89115.4,"15,460",5.5,"11,079",3021,1.73,"9,685.00",0,"133,049.70",19.97%,,,,,,
07-May,Week 1,"23,053.32","₹15,540",₹480,"₹16,020",1.3,0,1,83388.43,"14,254",5.1,10580,2925,2.33,"7,190.00",1199,"124,211.75",-6.64%,,,,,,
08-May,Week 2,"29,321.58","₹15,365","₹2,291","₹17,656",1.4,0.6,1,109247,"15,974",5.9,8884,3019,1.90,"5,241.00",0,"152,693.58",22.93%,,,,,,
09-May,Week 2,"30,141.05","₹13,169","₹1,964","₹15,132",2.0,2.84,2,72025.2,"14,731",4.4,17967,4105,2.69,"9,636.00",0,"129,769.25",-15.01%,,,,,,
10-May,Week 2,"29,575.85","₹14,563","₹2,134","₹16,698",1.4,4.07,3,75124.45,"14,018",4.6,18965,4762,2.42,"9,785.00",0,"133,450.30",2.84%,,,,,,
11-May,Week 2,"15,692.78","₹15,812","₹1,759","₹17,571",0.8,0.85,1,81083.34,"14,409",5.0,11429,3524,1.87,"4,991.00",0,"113,196.12",-15.18%,,,,,,
12-May,Week 2,"28,312.93","₹21,127","₹1,835","₹22,962",1.3,3.91,3,82762.02,"16,104",5.1,8185,3825,1.73,"8,438.00",0,"127,697.95",12.81%,,,,,,
13-May,Week 2,"55,114.82","₹23,582","₹1,724","₹25,307",2.0,1.37,2,80712.3,"15,455",5.0,9383,3469,1.76,"17,723.00",0,"162,933.12",27.59%,,,,,,
14-May,Week 2,"26,140.20","₹22,676","₹1,441","₹24,117",1.1,1.2,1,95763.4,"14,669",5.9,10182,3612,2.01,"9,738.00",0,"141,823.60",-12.96%,,,,,,
15-May,Week 3,"24,511.60","₹21,159","₹1,413","₹22,573",0.9,3.11,2,85426.3,"15,140",5.3,13374,3894,2.01,"7,538.00",0,"130,849.90",-7.74%,,,,,,
16-May,Week 3,"33,381.17","₹21,650","₹2,735","₹24,385",1.6,0,1,85024.6,"15,027",5.2,16768,3717,2.30,"11,234.00",0,"146,407.77",11.89%,,,,,,
17-May,Week 3,"27,659.02","₹22,932","₹2,695","₹25,627",1.2,0,1,75810.3,"15,008",4.7,13027,4039,1.83,"12,632.00",0,"129,128.32",-11.80%,,,,,,
18-May,Week 3,"27,075.63","₹10,396","₹2,050","₹12,446",2.2,2.55,2,81966.3,"13,986",5.0,12277,3573,2.27,"9,337.00",0,"130,655.93",1.18%,,,,,,
19-May,Week 3,"14,192.17",₹0,₹653,₹653,0.0,8.14,4,86343.6,"13,500",5.3,9583,3642,1.58,"7,939.00",0,"118,057.77",-9.64%,,,,,,
20-May,Week 3,"17,771.47","₹9,384","₹1,744","₹11,128",0.6,3.36,2,86829.7,"13,060",5.3,18916,3458,3.32,"12,183.00",0,"135,700.17",14.94%,,,,,,
21-May,Week 3,"18,041.02","₹22,348","₹2,416","₹24,763",0.9,0,0,95169,"14,446",5.5,14175,3685,2.25,"9,912.00",0,"137,297.02",1.18%,,,,,,
22-May,Week 4,"47,678.68","₹27,969","₹3,450","₹31,419",1.4,1.76,2,79073,"11,916",4.5,8784,3340,1.66,"12,484.00",0,"148,019.68",7.81%,,,,,,
23-May,Week 4,"48,616.54","₹28,989","₹3,559","₹32,549",1.8,1.99,2,58943.3,"11,856",3.6,15871,3371,2.06,"9,687.00",0,"133,117.84",-10.07%,,,,,,
24-May,Week 4,"54,481.71","₹20,531","₹2,005","₹22,536",1.9,4.78,3,66272.3,"12,698",4.1,20063,3140,3.14,"6,441.00",0,"147,258.01",10.62%,,,,,,
25-May,Week 4,"36,603.95","₹6,953",₹868,"₹7,822",1.7,2.71,2,72694.3,"13,028",4.5,10581,2032,3.25,"8,786.40",0,"128,665.65",-12.63%,,,,,,
26-May,Week 4,"41,441.76","₹22,546","₹1,928","₹24,474",1.3,3.09,2,86114,"12,000",5.3,18167,1686,5.10,"5,043.00",0,"150,765.76",17.18%,,,,,,
27-May,Week 4,"42,604.12","₹20,303","₹1,658","₹21,962",2.1,1.98,2,77250,"11,417",4.8,11678,1618,4.30,9386,0,"140,918.12",-6.53%,,,,,,
28-May,Week 4,"35,290.06","₹20,882",₹856,"₹21,739",1.6,0,1,69674,"11,048",4.3,20812,2300,4.78,6342,0,"132,118.06",-6.24%,,,,,,
29-May,Week 5,"27,153.49","₹19,364","₹6,376","₹25,740",1.4,0.27,1,57069,"9,635",3.5,11779,2380,2.77,5569,0,"101,570.49",-23.12%,,,,,,
30-May,Week 5,"29,481.74","₹20,026","₹4,216","₹24,242",1.51,0.99,1,67058.4,"10,909",4.1,12377,2427,2.42,6140,0,"115,057.14",13.28%,,,,,,
31-May,Week 5,"25,655.21","₹22,267","₹1,854","₹24,121",1.25,2.07,2,56659,"10,986",3.5,10581,,,7142,0,"100,037.21",-13.05%,,,,,,